,game_id,a_team_id,team_id,a_price,h_price,is_home,wl,season_year,player_1,player_2,player_3,player_4,player_5,player_6,team_id_a,player_1_a,player_2_a,player_3_a,player_4_a,player_5_a,player_6_a,season_num
4080,21601163,1610612742,1610612758,1.6896551724137931,2.25,t,1,2016,Langston Galloway,Willie Cauley-Stein,Skal Labissiere,Buddy Hield,Tyreke Evans,Georgios Papagiannis,1610612742,Dwight Powell,Nicolas Brussino,Harrison Barnes,AJ Hammons,Yogi Ferrell,Dorian Finney-Smith,1.0
6105,21600982,1610612756,1610612742,3.0,1.4166666666666667,t,0,2016,Harrison Barnes,Wesley Matthews,Seth Curry,Dirk Nowitzki,Yogi Ferrell,Devin Harris,1610612756,Devin Booker,TJ Warren,Eric Bledsoe,Tyler Ulis,Derrick Jones Jr.,Alan Williams,1.0
1850,21600520,1610612743,1610612744,15.0,1.0416666666666667,t,1,2016,Klay Thompson,Draymond Green,Stephen Curry,Kevin Durant,Andre Iguodala,Zaza Pachulia,1610612743,Wilson Chandler,Danilo Gallinari,Gary Harris,Emmanuel Mudiay,Will Barton,Nikola Jokic,1.0
6924,20700136,1610612737,1610612749,3.8,1.2777777777777777,t,1,2007,Andrew Bogut,Mo Williams,Michael Redd,Charlie Villanueva,Desmond Mason,Bobby Simmons,1610612737,Joe Johnson,Josh Smith,Josh Childress,Marvin Williams,Al Horford,Anthony Johnson,0.0
2864,20700690,1610612746,1610612739,4.5,1.2,t,1,2007,LeBron James,Zydrunas Ilgauskas,Daniel Gibson,Drew Gooden,Larry Hughes,Damon Jones,1610612746,Cuttino Mobley,Tim Thomas,Josh Powell,Al Thornton,Quinton Ross,Sam Cassell,0.0
1971,21601023,1610612761,1610612765,2.35,1.6451612903225805,t,0,2016,Andre Drummond,Kentavious Caldwell-Pope,Marcus Morris,Tobias Harris,Jon Leuer,Reggie Jackson,1610612761,Cory Joseph,DeMar DeRozan,Serge Ibaka,PJ Tucker,Jonas Valanciunas,DeMarre Carroll,1.0
7131,20800078,1610612745,1610612746,1.4,3.1,t,0,2008,Chris Kaman,Baron Davis,Al Thornton,Ricky Davis,Marcus Camby,Cuttino Mobley,1610612745,Metta World Peace,Rafer Alston,Yao Ming,Carl Landry,Brent Barry,Tracy McGrady,0.1111111111111111
4366,21300455,1610612742,1610612750,2.55,1.5714285714285714,t,0,2013,Nikola Pekovic,Kevin Love,Kevin Martin,Corey Brewer,Ricky Rubio,J.J. Barea,1610612742,Monta Ellis,Jose Calderon,Dirk Nowitzki,Shawn Marion,Vince Carter,Samuel Dalembert,0.6666666666666666
3029,20800690,1610612744,1610612740,4.25,1.2222222222222223,t,0,2008,Rasual Butler,Peja Stojakovic,Chris Paul,David West,James Posey,Sean Marks,1610612744,Stephen Jackson,Monta Ellis,Jamal Crawford,Corey Maggette,Ronny Turiaf,Andris Biedrins,0.1111111111111111
6653,21400268,1610612763,1610612745,1.5,2.7,t,1,2014,Trevor Ariza,Jason Terry,James Harden,Donatas Motiejunas,Kostas Papanikolaou,Tarik Black,1610612763,Quincy Pondexter,Mike Conley,Jon Leuer,Marc Gasol,Courtney Lee,Beno Udrih,0.7777777777777778
4607,21400790,1610612759,1610612765,1.3571428571428572,3.4,t,0,2014,Kentavious Caldwell-Pope,Andre Drummond,D.J. Augustin,Jodie Meeks,Greg Monroe,Kyle Singler,1610612759,Tony Parker,Danny Green,Kawhi Leonard,Aron Baynes,Manu Ginobili,Marco Belinelli,0.7777777777777778
3887,21600424,1610612738,1610612763,1.7692307692307692,2.1,t,0,2016,Tony Allen,Marc Gasol,Mike Conley,Troy Daniels,JaMychal Green,Zach Randolph,1610612738,Jae Crowder,Al Horford,Avery Bradley,Isaiah Thomas,Kelly Olynyk,Amir Johnson,1.0
411,21400029,1610612761,1610612753,1.4,3.1,t,0,2014,Tobias Harris,Nikola Vucevic,Channing Frye,Elfrid Payton,Ben Gordon,Evan Fournier,1610612761,Kyle Lowry,DeMar DeRozan,Terrence Ross,Jonas Valanciunas,Patrick Patterson,Amir Johnson,0.7777777777777778
145,21200816,1610612758,1610612737,3.9,1.263157894736842,t,1,2012,Josh Smith,Al Horford,DeShawn Stevenson,Jeff Teague,Kyle Korver,Anthony Tolliver,1610612758,Tyreke Evans,Isaiah Thomas,DeMarcus Cousins,Jason Thompson,John Salmons,Marcus Thornton,0.5555555555555556
6480,21300484,1610612740,1610612738,1.606060606060606,2.45,t,0,2013,Jordan Crawford,Brandon Bass,Avery Bradley,Jeff Green,Jared Sullinger,Kris Humphries,1610612740,Anthony Davis,Jrue Holiday,Eric Gordon,Tyreke Evans,Ryan Anderson,Al-Farouq Aminu,0.6666666666666666
7083,20701017,1610612738,1610612742,2.35,1.6451612903225805,t,0,2007,Josh Howard,Dirk Nowitzki,Jerry Stackhouse,Erick Dampier,Jason Kidd,Jason Terry,1610612738,Paul Pierce,Kevin Garnett,Ray Allen,Kendrick Perkins,Sam Cassell,Rajon Rondo,0.0
6950,20700275,1610612748,1610612757,1.6666666666666665,2.3,t,1,2007,Brandon Roy,LaMarcus Aldridge,Steve Blake,Travis Outlaw,James Jones,Joel Przybilla,1610612748,Dwyane Wade,Ricky Davis,Udonis Haslem,Jason Williams,Daequan Cook,Dorell Wright,0.0
2320,21300410,1610612754,1610612751,1.3571428571428572,3.4,t,0,2013,Joe Johnson,Deron Williams,Mirza Teletovic,Alan Anderson,Andray Blatche,Mason Plumlee,1610612754,Lance Stephenson,Paul George,Roy Hibbert,David West,George Hill,C.J. Watson,0.6666666666666666
1620,21500619,1610612741,1610612765,2.3,1.6666666666666665,t,0,2015,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,Stanley Johnson,1610612741,Jimmy Butler,Taj Gibson,Pau Gasol,Derrick Rose,Doug McDermott,Aaron Brooks,0.8888888888888888
